File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd_handle.o,11.611124%,5599,70,5556,0,43,27
flash_handle.o,9.809005%,4730,58,4730,0,0,58
key_handle.o,6.115593%,2949,194,2758,0,191,3
work_handle.o,5.068331%,2444,25,2436,0,8,17
ec11_handle.o,4.641131%,2238,17,2228,0,10,7
eventrecorder.o,3.442484%,1660,1188,1636,24,0,1188
at32f403a_407_crm.o,3.243400%,1564,0,1524,40,0,0
encoderec11.o,3.073350%,1482,115,1370,0,112,3
at32f403a_407_flash.o,2.990398%,1442,0,1442,0,0,0
at32f403a_407_tmr.o,2.708364%,1306,0,1306,0,0,0
mf_w.l,2.687626%,1296,0,1296,0,0,0
collect_data_handle.o,2.596379%,1252,20,1252,0,0,20
perf_counter.o,2.554904%,1232,76,1220,4,8,68
tmt.o,2.335082%,1126,184,1126,0,0,184
at32_usart.o,2.243836%,1082,2228,1082,0,0,2228
tm1680.o,2.119409%,1022,0,1022,0,0,0
output_handle.o,2.036457%,982,22,982,0,0,22
at32f403a_407_adc.o,1.961801%,946,0,946,0,0,0
adc_filter.o,1.870554%,902,320,902,0,0,320
at32f403a_407_usart.o,1.663176%,802,0,802,0,0,0
main.o,1.526306%,736,1,736,0,0,1
at32f403a_407_dma.o,1.501420%,724,0,724,0,0,0
at32f403a_407_wk_config.o,1.488978%,718,0,718,0,0,0
pc_comm_handle.o,1.265009%,610,1547,610,0,0,1547
system_at32f403a_407.o,1.248419%,602,4,582,16,4,0
at32f403a_407_gpio.o,1.248419%,602,0,602,0,0,0
mc_w.l,1.157172%,558,0,558,0,0,0
wk_adc.o,1.078368%,520,0,520,0,0,0
at32f403a_407_misc.o,1.045188%,504,0,504,0,0,0
startup_at32f403a_407.o,0.879285%,424,1024,36,388,0,1024
wk_gpio.o,0.825367%,398,0,398,0,0,0
ps305d_handle.o,0.734120%,354,156,354,0,0,156
at32f403a_407_dac.o,0.705087%,340,0,340,0,0,0
dadd.o,0.692644%,334,0,334,0,0,0
beep.o,0.649095%,313,17,292,5,16,1
wk_tmr.o,0.630431%,304,0,304,0,0,0
at32f403a_407_int.o,0.605545%,292,11,290,0,2,9
util_queue.o,0.580660%,280,0,280,0,0,0
beep_handle.o,0.561996%,271,3,270,0,1,2
key.o,0.520520%,251,1,250,0,1,0
at32f403a_407_crc.o,0.493561%,238,0,238,0,0,0
perfc_port_default.o,0.476971%,230,0,230,0,0,0
dmul.o,0.472823%,228,0,228,0,0,0
ddiv.o,0.460380%,222,0,222,0,0,0
wk_usart.o,0.410609%,198,0,198,0,0,0
depilogue.o,0.385724%,186,0,186,0,0,0
wk_dac.o,0.277887%,134,0,134,0,0,0
wk_dma.o,0.253002%,122,0,122,0,0,0
at32f403a_407_wdt.o,0.244707%,118,0,118,0,0,0
iap.o,0.240559%,116,1,116,0,0,1
wk_system.o,0.236412%,114,4,114,0,0,4
fepilogue.o,0.228116%,110,0,110,0,0,0
uldiv.o,0.203231%,98,0,98,0,0,0
ldiv.o,0.203231%,98,0,98,0,0,0
__dczerorl2.o,0.178346%,86,0,86,0,0,0
pid_handle.o,0.132722%,64,128,64,0,0,128
dfixi.o,0.128575%,62,0,62,0,0,0
d2f.o,0.116132%,56,0,56,0,0,0
wk_crc.o,0.107837%,52,0,52,0,0,0
flash.o,0.103689%,50,0,50,0,0,0
init.o,0.099542%,48,0,48,0,0,0
cpp_init.o,0.082951%,40,0,40,0,0,0
f2d.o,0.078804%,38,0,38,0,0,0
memseta.o,0.074656%,36,0,36,0,0,0
llsshr.o,0.074656%,36,0,36,0,0,0
dflti.o,0.070509%,34,0,34,0,0,0
llushr.o,0.066361%,32,0,32,0,0,0
llshl.o,0.062214%,30,0,30,0,0,0
handlers.o,0.062214%,30,0,30,0,0,0
wk_wdt.o,0.058066%,28,0,28,0,0,0
systick_wrapper_gnu.o,0.058066%,28,0,28,0,0,0
dfltui.o,0.053918%,26,0,26,0,0,0
wk_debug.o,0.037328%,18,0,18,0,0,0
entry9a.o,0.016590%,8,0,8,0,0,0
entry2.o,0.016590%,8,0,8,0,0,0
entry8a.o,0.008295%,4,0,4,0,0,0
entry5.o,0.008295%,4,0,4,0,0,0
